ID,URL,Visits,Transition,Time
16553,https://www.w3schools.com/jsref/event_onclick.asp,1,link,Thu Nov 09 2017 09:26:48 GMT+0530 (India Standard Time),reload,Thu Nov 09 2017 09:31:17 GMT+0530 (India Standard Time)
16525,https://developer.chrome.com/extensions/cookies,3,link,Thu Nov 09 2017 09:02:41 GMT+0530 (India Standard Time),link,Thu Nov 09 2017 09:11:20 GMT+0530 (India Standard Time),link,Thu Nov 09 2017 09:25:10 GMT+0530 (India Standard Time),reload,Thu Nov 09 2017 09:31:17 GMT+0530 (India Standard Time)
16241,https://developer.chrome.com/extensions/api_index,4,link,Tue Nov 07 2017 08:37:17 GMT+0530 (India Standard Time),reload,Tue Nov 07 2017 09:12:07 GMT+0530 (India Standard Time),link,Wed Nov 08 2017 22:03:57 GMT+0530 (India Standard Time),typed,Thu Nov 09 2017 09:10:57 GMT+0530 (India Standard Time),typed,Thu Nov 09 2017 09:24:54 GMT+0530 (India Standard Time),reload,Thu Nov 09 2017 09:31:15 GMT+0530 (India Standard Time)
16552,https://www.google.co.in/search?q=button+onclick&oq=button+onclick&aqs=chrome..69i57j0l5.2288j0j7&sourceid=chrome&ie=UTF-8,1,generated,Thu Nov 09 2017 09:26:45 GMT+0530 (India Standard Time)
16551,https://notifications.google.com/u/0/widget?sourceid=243&hl=en&origin=https://www.google.co.in&uc=1&usegapi=1&jsh=m;/_/scs/abc-static/_/js/k%3Dgapi.gapi.en.xyDspFFbPYQ.O/m%3D__features__/am%3DAAI/rt%3Dj/d%3D1/rs%3DAHpOoo9vuiyYzl-xmAxJd0moShp71zG1mw&pli=1#pid=243&_methods=onError%2ConInfo%2ChideNotificationWidget%2CpostSharedMessage%2Creauth%2CsetNotificationWidgetHeight%2CsetNotificationWidgetSize%2CswitchTo%2CnavigateTo%2CsetNotificationText%2CsetNotificationAnimation%2CgetNotificationText%2CvalidateUser%2C_ready&id=I0_1510199751220&_gfid=I0_1510199751220&parent=https%3A%2F%2Fwww.google.co.in&pfname=&rpctoken=39425266,3,link,Thu Nov 09 2017 09:26:06 GMT+0530 (India Standard Time),link,Thu Nov 09 2017 09:26:08 GMT+0530 (India Standard Time),link,Thu Nov 09 2017 09:26:08 GMT+0530 (India Standard Time)
16548,https://stackoverflow.com/questions/13522909/how-to-view-cookies-set-by-google-chrome-extension,1,link,Thu Nov 09 2017 09:19:00 GMT+0530 (India Standard Time)
16543,https://www.google.co.in/search?q=chrome.cookies.getAll+how+to+use&oq=chrome.cookies.getAll+how+to+use&aqs=chrome..69i57.15020j0j7&sourceid=chrome&ie=UTF-8,3,generated,Thu Nov 09 2017 09:16:49 GMT+0530 (India Standard Time),generated,Thu Nov 09 2017 09:18:14 GMT+0530 (India Standard Time),generated,Thu Nov 09 2017 09:18:53 GMT+0530 (India Standard Time)
16547,https://groups.google.com/a/chromium.org/forum/#!topic/apps-dev/2Mf7RiYIFkc,1,link,Thu Nov 09 2017 09:18:20 GMT+0530 (India Standard Time)
16545,https://groups.google.com/a/chromium.org/forum/#!topic/chromium-extensions/yFsXMQ3UEuA,1,link,Thu Nov 09 2017 09:16:56 GMT+0530 (India Standard Time)
14371,https://www.facebook.com/,86,typed,Sun Oct 08 2017 20:06:41 GMT+0530 (India Standard Time),link,Sun Oct 08 2017 20:06:46 GMT+0530 (India Standard Time),link,Mon Oct 09 2017 21:06:31 GMT+0530 (India Standard Time),link,Mon Oct 09 2017 21:06:31 GMT+0530 (India Standard Time),typed,Tue Oct 10 2017 12:30:05 GMT+0530 (India Standard Time),link,Tue Oct 10 2017 12:30:36 GMT+0530 (India Standard Time),typed,Tue Oct 10 2017 12:52:33 GMT+0530 (India Standard Time),typed,Wed Oct 11 2017 21:47:41 GMT+0530 (India Standard Time),typed,Wed Oct 11 2017 21:49:52 GMT+0530 (India Standard Time),reload,Wed Oct 11 2017 21:50:56 GMT+0530 (India Standard Time),reload,Wed Oct 11 2017 21:54:13 GMT+0530 (India Standard Time),typed,Wed Oct 11 2017 21:57:15 GMT+0530 (India Standard Time),typed,Thu Oct 12 2017 21:18:33 GMT+0530 (India Standard Time),link,Thu Oct 12 2017 21:19:02 GMT+0530 (India Standard Time),typed,Thu Oct 12 2017 21:19:07 GMT+0530 (India Standard Time),typed,Thu Oct 12 2017 21:19:17 GMT+0530 (India Standard Time),link,Thu Oct 12 2017 21:20:17 GMT+0530 (India Standard Time),typed,Fri Oct 13 2017 18:57:11 GMT+0530 (India Standard Time),link,Fri Oct 13 2017 18:57:18 GMT+0530 (India Standard Time),typed,Fri Oct 13 2017 21:04:43 GMT+0530 (India Standard Time),link,Fri Oct 13 2017 21:07:56 GMT+0530 (India Standard Time),typed,Fri Oct 13 2017 21:08:08 GMT+0530 (India Standard Time),link,Fri Oct 13 2017 21:19:56 GMT+0530 (India Standard Time),typed,Fri Oct 13 2017 22:08:19 GMT+0530 (India Standard Time),link,Fri Oct 13 2017 22:08:26 GMT+0530 (India Standard Time),typed,Fri Oct 13 2017 23:04:43 GMT+0530 (India Standard Time),link,Fri Oct 13 2017 23:05:05 GMT+0530 (India Standard Time),typed,Sun Oct 15 2017 18:34:23 GMT+0530 (India Standard Time),link,Sun Oct 15 2017 18:34:40 GMT+0530 (India Standard Time),typed,Sun Oct 22 2017 14:51:36 GMT+0530 (India Standard Time),link,Sun Oct 22 2017 14:51:42 GMT+0530 (India Standard Time),typed,Sun Oct 22 2017 15:00:11 GMT+0530 (India Standard Time),typed,Sun Oct 22 2017 15:12:58 GMT+0530 (India Standard Time),typed,Tue Oct 24 2017 21:56:46 GMT+0530 (India Standard Time),link,Tue Oct 24 2017 21:56:51 GMT+0530 (India Standard Time),typed,Tue Oct 31 2017 09:58:39 GMT+0530 (India Standard Time),link,Tue Oct 31 2017 09:58:44 GMT+0530 (India Standard Time),typed,Tue Oct 31 2017 15:48:37 GMT+0530 (India Standard Time),link,Tue Oct 31 2017 15:48:41 GMT+0530 (India Standard Time),typed,Wed Nov 01 2017 13:25:17 GMT+0530 (India Standard Time),link,Wed Nov 01 2017 13:25:23 GMT+0530 (India Standard Time),typed,Wed Nov 01 2017 22:33:10 GMT+0530 (India Standard Time),link,Wed Nov 01 2017 22:33:15 GMT+0530 (India Standard Time),typed,Wed Nov 01 2017 22:36:39 GMT+0530 (India Standard Time),typed,Thu Nov 02 2017 07:09:38 GMT+0530 (India Standard Time),link,Thu Nov 02 2017 07:09:44 GMT+0530 (India Standard Time),typed,Thu Nov 02 2017 16:41:07 GMT+0530 (India Standard Time),link,Thu Nov 02 2017 16:41:12 GMT+0530 (India Standard Time),typed,Thu Nov 02 2017 20:45:54 GMT+0530 (India Standard Time),link,Thu Nov 02 2017 20:45:58 GMT+0530 (India Standard Time),typed,Thu Nov 02 2017 20:59:19 GMT+0530 (India Standard Time),link,Thu Nov 02 2017 20:59:27 GMT+0530 (India Standard Time),typed,Thu Nov 02 2017 21:04:12 GMT+0530 (India Standard Time),link,Thu Nov 02 2017 21:04:15 GMT+0530 (India Standard Time),typed,Thu Nov 02 2017 21:04:56 GMT+0530 (India Standard Time),link,Thu Nov 02 2017 21:07:56 GMT+0530 (India Standard Time),typed,Thu Nov 02 2017 21:16:26 GMT+0530 (India Standard Time),link,Thu Nov 02 2017 21:16:30 GMT+0530 (India Standard Time),typed,Thu Nov 02 2017 21:25:22 GMT+0530 (India Standard Time),link,Thu Nov 02 2017 21:25:26 GMT+0530 (India Standard Time),typed,Thu Nov 02 2017 21:26:24 GMT+0530 (India Standard Time),link,Thu Nov 02 2017 21:35:04 GMT+0530 (India Standard Time),typed,Fri Nov 03 2017 13:58:49 GMT+0530 (India Standard Time),link,Fri Nov 03 2017 13:58:56 GMT+0530 (India Standard Time),link,Fri Nov 03 2017 14:02:07 GMT+0530 (India Standard Time),typed,Fri Nov 03 2017 16:31:37 GMT+0530 (India Standard Time),link,Fri Nov 03 2017 16:31:42 GMT+0530 (India Standard Time),typed,Fri Nov 03 2017 16:32:24 GMT+0530 (India Standard Time),typed,Fri Nov 03 2017 16:32:29 GMT+0530 (India Standard Time),typed,Fri Nov 03 2017 16:32:36 GMT+0530 (India Standard Time),typed,Mon Nov 06 2017 13:05:36 GMT+0530 (India Standard Time),link,Mon Nov 06 2017 13:05:48 GMT+0530 (India Standard Time),link,Mon Nov 06 2017 13:12:00 GMT+0530 (India Standard Time),link,Mon Nov 06 2017 14:10:38 GMT+0530 (India Standard Time),typed,Mon Nov 06 2017 17:51:47 GMT+0530 (India Standard Time),link,Mon Nov 06 2017 17:51:51 GMT+0530 (India Standard Time),typed,Tue Nov 07 2017 15:16:24 GMT+0530 (India Standard Time),link,Tue Nov 07 2017 15:16:27 GMT+0530 (India Standard Time),typed,Wed Nov 08 2017 12:32:30 GMT+0530 (India Standard Time),link,Wed Nov 08 2017 12:32:34 GMT+0530 (India Standard Time),typed,Wed Nov 08 2017 22:59:10 GMT+0530 (India Standard Time),link,Wed Nov 08 2017 22:59:12 GMT+0530 (India Standard Time),typed,Thu Nov 09 2017 09:03:18 GMT+0530 (India Standard Time),link,Thu Nov 09 2017 09:03:21 GMT+0530 (India Standard Time),typed,Thu Nov 09 2017 09:12:23 GMT+0530 (India Standard Time),link,Thu Nov 09 2017 09:12:24 GMT+0530 (India Standard Time),form_submit,Thu Nov 09 2017 09:12:33 GMT+0530 (India Standard Time),link,Thu Nov 09 2017 09:12:36 GMT+0530 (India Standard Time)
